Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,Input chars,Input length,Target chars,Target length,Train size,baseline,batch_size,class_weight,epochs,initial_epoch,latent_dim,max_queue_size,min_delta,monitor,opt_centered,opt_decay,opt_epsilon,opt_learning_rate,opt_momentum,opt_name,opt_rho,patience,restore_best_weights,sample_weight,shuffle,steps_per_epoch,use_multiprocessing,validation_batch_size,validation_freq,validation_split,validation_steps,workers,categorical_accuracy,loss,stopped_epoch,val_categorical_accuracy,val_loss
2023-01-05 17:59:16,1.5h,1d8fea1d6e54413baca4a946afe0ea8a,traveling-goose-507,JOB,jobs/898578885131293/run/1464581,adz2costas@es.nestle.com,FINISHED," !&()+,-./0123456789:ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmnopqrstuvwxyz",120,"	
 !&()+,-./0123456789:_abcdefghijklmnopqrstuvwxyz",122,50000,None,32,None,300,0,128,10,0,loss,False,0.0,1e-07,0.001,0.0,RMSprop,0.9,15,False,None,True,None,False,32,1,0.2,None,1,0.050842419266700745,0.01960575021803379,,0.05016311630606651,0.021358106285333633
2023-01-02 17:07:31,1.5h,cc0b586ba03f415881e84e31ef2a5326,unique-snail-939,JOB,jobs/898578885131293/run/1389804,adz2costas@es.nestle.com,FINISHED," !&()+,-./0123456789:ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmnopqrstuvwxyz",120,"	
 !&()+,-./0123456789:_abcdefghijklmnopqrstuvwxyz",122,100000,None,32,None,200,0,128,10,0,loss,False,0.0,1e-07,0.001,0.0,RMSprop,0.9,8,False,None,True,None,False,32,1,0.2,None,1,0.04988791048526764,0.02188405953347683,155,0.04952704906463623,0.022858913987874985
2023-01-02 17:33:18,1.4h,491e8b4f99f241fcab845c754b6ca092,resilient-stag-310,JOB,jobs/898578885131293/run/1391856,adz2costas@es.nestle.com,FINISHED," !&()+,-./0123456789:ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmnopqrstuvwxyz",120,"	
 !&()+,-./0123456789:_abcdefghijklmnopqrstuvwxyz",122,150000,None,32,None,200,0,128,10,0,loss,False,0.0,1e-07,0.001,0.0,RMSprop,0.9,8,False,None,True,None,False,32,1,0.2,None,1,0.044630736112594604,0.039064716547727585,95,0.04476475343108177,0.039222318679094315
2023-01-02 17:02:53,25.8min,37725eb2fe6e43be9a4f7a4245b920ad,nimble-duck-539,JOB,jobs/898578885131293/run/1388355,adz2costas@es.nestle.com,FINISHED," !&()+,-./0123456789:ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmnopqrstuvwxyz",120,"	
 !&()+,-./0123456789:_abcdefghijklmnopqrstuvwxyz",122,20000,None,32,None,200,0,128,10,0,loss,False,0.0,1e-07,0.001,0.0,RMSprop,0.9,8,False,None,True,None,False,32,1,0.2,None,1,0.04857172071933746,0.042535606771707535,,0.048073772341012955,0.044017910957336426
2023-01-02 19:01:50,57.9min,adb7ed3ccd3643f8a6b2bf64ddc2a460,amusing-calf-574,JOB,jobs/898578885131293/run/1396508,adz2costas@es.nestle.com,FINISHED," !&()+,-./0123456789:ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmnopqrstuvwxyz",120,"	
 !&()+,-./0123456789:_abcdefghijklmnopqrstuvwxyz",122,150000,None,32,None,200,0,128,10,0,loss,False,0.0,1e-07,0.005,0.0,RMSprop,0.9,8,False,None,True,None,False,32,1,0.2,None,1,0.028315095230937004,0.08715991675853729,64,0.028230873867869377,0.0876874253153801
2023-01-05 16:41:22,46.6min,523382ae1f8c42178c956610f32f532a,efficient-shoat-220,JOB,jobs/898578885131293/run/1455482,adz2costas@es.nestle.com,FINISHED," !&()+,-./0123456789:ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmnopqrstuvwxyz",120,"	
 !&()+,-./0123456789:_abcdefghijklmnopqrstuvwxyz",122,150000,None,32,None,400,0,128,10,0,loss,False,0.0,1e-07,0.0025,0.0,RMSprop,0.9,5,False,None,True,None,False,32,1,0.25,None,1,0.05429530143737793,0.12595565617084503,49,0.05480305850505829,0.12442371249198914
2023-01-02 16:47:21,1.0min,4ee1bae378e24ad19a611272b8a8822f,sassy-yak-545,JOB,jobs/898578885131293/run/1384634,adz2costas@es.nestle.com,FINISHED," !&()+,-./0123456789:ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmnopqrstuvwxyz",120,"	
 !&()+,-./0123456789:_abcdefghijklmnopqrstuvwxyz",122,1000,None,32,None,100,0,128,10,0,loss,False,0.0,1e-07,0.001,0.0,RMSprop,0.9,5,False,None,True,None,False,32,1,0.2,None,1,0.01912909746170044,0.13371342420578003,55,0.01844262331724167,0.14018243551254272
2023-01-05 17:45:17,3.6min,07819215d6734292b90344f2a37b79ca,wistful-mole-272,JOB,jobs/898578885131293/run/1462909,adz2costas@es.nestle.com,FINISHED," !&()+,-./0123456789:ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmnopqrstuvwxyz",120,"	
 !&()+,-./0123456789:_abcdefghijklmnopqrstuvwxyz",122,50000,None,32,None,300,0,128,10,0,loss,False,0.0,1e-07,0.001,0.0,RMSprop,0.9,8,False,None,True,None,False,32,1,0.2,None,1,0.02003176137804985,0.13493850827217102,9,0.020104099065065384,0.13349555432796478
2023-01-05 18:52:27,1.1h,80e08aea9c0741e7ba1bf2e9409ed4cc,languid-asp-783,JOB,jobs/898578885131293/run/1474703,adz2costas@es.nestle.com,FINISHED," !&()+,-./0123456789:ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmnopqrstuvwxyz",120,"	
 !&()+,-./0123456789:_abcdefghijklmnopqrstuvwxyz",122,150000,None,32,None,400,0,128,10,0,loss,False,0.0,1e-07,0.001,0.0,RMSprop,0.9,5,False,None,True,None,False,32,1,0.2,None,1,0.052403345704078674,0.13660846650600433,76,0.052075956016778946,0.1367468535900116
2023-01-02 16:57:16,1.8min,30166f087c35411295a7f2860a5eb781,nervous-owl-520,JOB,jobs/898578885131293/run/1387598,adz2costas@es.nestle.com,FINISHED," !&()+,-./0123456789:ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmnopqrstuvwxyz",120,"	
 !&()+,-./0123456789:_abcdefghijklmnopqrstuvwxyz",122,5000,None,32,None,100,0,128,10,0,loss,False,0.0,1e-07,0.001,0.0,RMSprop,0.9,8,False,None,True,None,False,32,1,0.2,None,1,0.017952868714928627,0.1369984745979309,31,0.017729507759213448,0.13776467740535736
